Day,Sapporo,Tokyo,Osaka,Naha
2020/1/1,-5.8,5.5,6.9,17.0
2020/1/2,-4.0,6.2,8.2,17.9
2020/1/3,-2.5,6.1,10.3,18.0
2020/1/4,-5.0,7.2,9.6,18.7
2020/1/5,-4.7,5.4,7.0,19.2
2020/1/6,-0.9,7.5,7.2,19.9
2020/1/7,-0.9,5.7,6.7,21.9
2020/1/8,-2.7,5.2,11.9,19.4
2020/1/9,-1.6,10.6,10.9,17.7
2020/1/10,-2.7,8.4,9.1,18.0
2020/1/11,-1.6,7.0,7.9,19.8
2020/1/12,-1.3,6.7,8.4,19.0
2020/1/13,-2.5,8.5,9.1,17.5
2020/1/14,-2.7,8.4,7.4,19.1
2020/1/15,-3.4,6.8,7.1,18.2
2020/1/16,-2.9,6.7,6.5,20.5
2020/1/17,-2.7,7.3,6.9,19.3
2020/1/18,-3.7,3.8,8.0,16.3
2020/1/19,-3.2,6.5,8.0,16.4
2020/1/20,-0.8,7.5,9.8,16.9
2020/1/21,-2.2,7.4,8.0,17.6
2020/1/22,0.1,4.9,7.0,19.2
2020/1/23,0.3,6.1,9.4,20.8
2020/1/24,-3.9,9.9,11.1,21.7
2020/1/25,-5.4,7.8,8.0,23.1
2020/1/26,-5.0,5.0,8.8,22.5
2020/1/27,-1.0,5.1,8.6,21.2
2020/1/28,-2.0,4.4,13.0,18.0
2020/1/29,0.4,11.8,11.5,16.4
2020/1/30,2.5,11.7,9.0,14.8
2020/1/31,1.2,8.1,6.6,14.5
2020/2/1,-1.2,7.9,6.9,15.8
2020/2/2,-1.7,8.7,7.7,15.6
2020/2/3,-3.1,9.3,8.3,16.8
2020/2/4,-5.1,7.9,7.8,19.1
2020/2/5,-6.8,7.6,6.9,17.3
2020/2/6,-7.2,2.9,3.3,16.5
2020/2/7,-4.3,2.4,3.4,20.3
2020/2/8,-6.8,6.2,6.6,17.9
2020/2/9,-10.2,3.9,4.1,16.0
2020/2/10,-5.7,4.6,4.8,16.0
2020/2/11,-3.3,6.3,7.3,17.2
2020/2/12,2.0,8.7,8.9,21.5
2020/2/13,3.3,11.7,13.5,22.9
2020/2/14,2.3,12.0,11.7,23.7
2020/2/15,-0.9,12.4,10.3,23.8
2020/2/16,-4.2,9.3,11.7,19.0
2020/2/17,-0.7,10.3,8.0,13.6
2020/2/18,0.5,7.6,5.5,13.2
2020/2/19,-1.1,8.1,7.6,16.0
2020/2/20,-0.4,9.0,8.4,17.5
2020/2/21,-0.7,10.0,9.5,19.4
2020/2/22,2.1,12.5,9.3,19.5
2020/2/23,1.2,10.4,9.1,18.3
2020/2/24,0.1,9.8,8.7,19.4
2020/2/25,-0.1,10.5,9.7,22.5
2020/2/26,-1.3,8.1,10.2,21.9
2020/2/27,-2.6,7.0,6.5,20.2
2020/2/28,-2.1,7.0,7.4,19.7
2020/2/29,-3.4,9.4,7.6,22.0
2020/3/1,-1.3,12.0,10.3,22.0
2020/3/2,1.1,7.3,11.7,20.1
2020/3/3,0.2,11.3,10.4,19.8
2020/3/4,1.0,8.9,8.8,19.9
2020/3/5,0.6,9.2,7.4,15.4
2020/3/6,1.2,9.4,8.2,17.1
2020/3/7,1.0,7.3,9.4,19.6
2020/3/8,3.8,7.2,10.4,20.8
2020/3/9,5.6,13.1,13.0,22.7
2020/3/10,4.6,14.7,14.5,19.8
2020/3/11,2.9,15.3,12.5,17.0
2020/3/12,3.2,11.4,10.7,16.8
2020/3/13,1.6,12.5,11.7,18.6
2020/3/14,0.6,5.5,8.9,17.9
2020/3/15,0.7,7.1,8.6,16.1
2020/3/16,-0.6,7.1,6.4,17.7
2020/3/17,2.5,7.7,8.8,17.3
2020/3/18,5.7,11.9,13.6,19.9
2020/3/19,6.7,14.6,15.6,20.8
2020/3/20,6.2,14.5,12.8,19.5
2020/3/21,6.6,13.8,13.6,21.2
2020/3/22,5.9,16.8,14.9,23.7
2020/3/23,2.6,10.3,12.3,22.2
2020/3/24,1.9,8.2,10.1,20.8
2020/3/25,4.9,10.0,11.0,21.5
2020/3/26,5.0,13.0,14.3,22.9
2020/3/27,7.4,16.2,15.8,23.8
2020/3/28,4.0,15.5,12.5,22.7
2020/3/29,4.0,3.6,9.1,20.2
2020/3/30,5.6,7.6,10.3,22.4
2020/3/31,7.3,9.8,14.7,22.1
2020/4/1,9.0,11.4,14.1,20.5
2020/4/2,7.0,13.9,11.8,19.9
2020/4/3,6.4,12.8,12.2,20.9
2020/4/4,9.1,15.7,14.7,20.0
2020/4/5,5.2,10.2,10.5,19.6
2020/4/6,3.6,12.1,11.2,19.9
2020/4/7,5.3,12.4,12.8,17.6
2020/4/8,6.8,14.3,14.8,19.9
2020/4/9,4.0,13.3,13.2,18.7
2020/4/10,3.9,11.2,11.4,20.3
2020/4/11,4.5,11.4,11.2,20.9
2020/4/12,3.5,10.3,9.2,18.6
2020/4/13,5.6,8.0,10.3,17.4
2020/4/14,5.7,10.9,12.7,18.2
2020/4/15,4.8,13.8,14.0,19.6
2020/4/16,5.0,11.7,14.9,20.5
2020/4/17,7.2,12.4,15.7,21.1
2020/4/18,8.7,12.9,15.5,23.5
2020/4/19,11.5,14.7,15.3,23.7
2020/4/20,8.2,9.7,15.7,20.8
2020/4/21,9.6,14.2,16.1,19.6
2020/4/22,5.7,13.5,12.8,17.3
2020/4/23,3.9,11.9,11.7,17.9
2020/4/24,5.8,12.2,12.0,17.8
2020/4/25,6.9,12.7,14.4,19.5
2020/4/26,7.7,18.3,17.7,18.3
2020/4/27,6.2,12.8,16.0,19.5
2020/4/28,9.8,12.3,15.4,20.6
2020/4/29,9.7,15.1,16.3,21.0
2020/4/30,13.0,18.0,18.4,21.8
2020/5/1,14.3,19.9,20.2,22.8
2020/5/2,15.6,20.6,21.3,21.8
2020/5/3,17.4,20.7,19.5,24.1
2020/5/4,16.7,19.3,20.8,26.0
2020/5/5,8.1,21.3,23.0,26.2
2020/5/6,8.1,15.8,19.9,25.2
2020/5/7,9.7,16.5,17.5,24.7
2020/5/8,15.1,16.7,18.2,23.4
2020/5/9,15.7,18.3,18.7,24.6
2020/5/10,12.4,21.5,20.7,26.1
2020/5/11,13.9,22.9,22.3,25.2
2020/5/12,15.5,21.7,21.8,23.8
2020/5/13,14.6,22.3,20.7,24.1
2020/5/14,14.1,20.8,20.7,24.0
2020/5/15,15.9,21.5,20.2,26.6
2020/5/16,13.0,18.5,16.8,26.6
2020/5/17,11.6,21.6,20.9,27.1
2020/5/18,9.6,19.2,21.2,25.4
2020/5/19,11.4,17.7,20.7,23.4
2020/5/20,10.0,12.7,20.1,23.7
2020/5/21,11.0,12.7,18.6,20.7
2020/5/22,10.1,15.3,19.9,22.1
2020/5/23,12.8,18.4,22.8,23.3
2020/5/24,15.0,20.8,22.9,24.5
2020/5/25,15.3,21.6,23.4,25.2
2020/5/26,12.1,20.9,21.7,26.0
2020/5/27,12.7,21.4,21.2,26.3
2020/5/28,13.3,19.4,21.8,25.5
2020/5/29,17.8,20.7,22.9,25.5
2020/5/30,21.4,22.0,23.0,26.6
2020/5/31,19.9,21.3,20.4,27.1
2020/6/1,20.9,19.6,22.8,26.6
2020/6/2,19.9,22.3,24.6,27.5
2020/6/3,19.5,24.0,24.3,28.1
2020/6/4,19.2,23.5,24.8,28.5
2020/6/5,17.7,24.8,25.8,28.6
2020/6/6,14.0,24.2,25.1,28.1
2020/6/7,13.6,22.0,24.4,25.0
2020/6/8,14.8,23.2,24.3,25.2
2020/6/9,19.7,25.5,24.8,24.6
2020/6/10,22.0,26.2,25.6,27.0
2020/6/11,21.6,25.1,25.1,28.5
2020/6/12,21.4,26.2,25.1,28.9
2020/6/13,21.7,21.3,24.9,29.0
2020/6/14,21.3,21.7,25.8,29.2
2020/6/15,20.4,25.9,26.7,29.0
2020/6/16,17.6,25.5,25.6,29.0
2020/6/17,15.6,23.6,24.8,29.2
2020/6/18,16.4,22.1,20.9,29.4
2020/6/19,15.3,18.7,19.9,29.6
2020/6/20,14.9,22.9,22.7,29.3
2020/6/21,15.9,21.9,23.7,29.2
2020/6/22,16.7,19.2,25.2,27.6
2020/6/23,19.7,22.3,26.6,28.1
2020/6/24,20.3,22.5,26.2,28.6
2020/6/25,17.5,20.2,25.7,27.1
2020/6/26,17.2,24.7,27.8,26.5
2020/6/27,18.3,25.5,27.0,27.4
2020/6/28,17.8,22.2,24.9,29.0
2020/6/29,16.8,24.9,25.8,29.4
2020/6/30,19.8,24.6,25.0,29.8
2020/7/1,20.7,25.1,25.8,27.7
2020/7/2,18.3,25.9,24.4,27.9
2020/7/3,19.7,23.8,22.0,28.7
2020/7/4,19.5,23.8,24.1,29.2
2020/7/5,20.8,24.9,25.7,29.4
2020/7/6,22.0,24.8,25.8,29.9
2020/7/7,21.9,27.2,26.1,29.8
2020/7/8,21.8,26.0,24.6,29.7
2020/7/9,23.4,23.7,25.4,29.7
2020/7/10,23.1,25.3,26.0,30.1
2020/7/11,20.8,27.5,27.1,30.3
2020/7/12,21.0,26.0,25.5,30.1
2020/7/13,20.0,21.0,21.1,30.4
2020/7/14,20.6,22.3,24.1,29.8
2020/7/15,20.6,20.4,23.9,29.8
2020/7/16,20.0,20.7,25.5,28.3
2020/7/17,20.6,19.3,23.9,26.2
2020/7/18,21.4,20.4,25.9,27.8
2020/7/19,22.3,24.3,27.8,29.1
2020/7/20,23.9,26.9,29.0,29.7
2020/7/21,21.6,25.5,30.0,29.3
2020/7/22,22.7,26.6,28.8,29.3
2020/7/23,20.8,23.2,27.3,29.6
2020/7/24,20.6,24.5,26.3,29.8
2020/7/25,21.3,25.1,24.9,28.9
2020/7/26,21.7,25.6,24.8,28.5
2020/7/27,19.2,26.3,26.6,29.1
2020/7/28,21.3,26.7,28.0,29.6
2020/7/29,21.6,22.9,28.5,30.0
2020/7/30,22.1,23.2,27.8,29.9
2020/7/31,22.6,24.8,28.2,30.0
2020/8/1,24.4,26.1,28.9,30.0
2020/8/2,24.3,26.3,29.2,29.8
2020/8/3,23.2,27.2,29.0,30.1
2020/8/4,25.5,28.3,29.6,30.1
2020/8/5,26.2,29.1,29.8,30.4
2020/8/6,24.6,28.5,29.5,30.4
2020/8/7,22.7,29.5,29.8,30.3
2020/8/8,20.2,28.1,30.2,29.2
2020/8/9,22.5,28.7,30.9,27.2
2020/8/10,23.1,30.5,32.0,29.4
2020/8/11,26.9,31.7,31.5,29.7
2020/8/12,27.1,30.0,31.2,30.2
2020/8/13,24.2,29.4,31.1,30.3
2020/8/14,20.2,29.4,31.6,30.2
